,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
3048,핫캠핑장,일반야영장,전라남도 담양군 용면 용연리 800-3,영업중,35.44,127.03,4.0,전라남도
3049,라온야영장,일반야영장,전라남도 담양군 용면 도림리 176-7번지,영업중,35.38,127.0,1.0,전라남도
3050,하늘나리 캠핑장,일반야영장,전라남도 곡성군 죽곡면 하한리 685,영업중,35.16,127.4,0.0,전라남도
3051,덕룡산행복마을영농조합법인,일반야영장,전라남도 강진군 도암면 봉황리 295-50,영업중,34.54,126.68,0,전라남도
3052,톱머리 글램핑장,일반야영장,전라남도 무안군 망운면 피서리 811-5번지,휴업,34.97,126.38,0,전라남도
3053,회산백련지 오토캠핑장,"일반야영장,카라반",전라남도 무안군 일로읍 복룡리 269-1 백련모텔리조트,영업중,34.86,126.53,0.0,전라남도
3054,회산백련지 오토캠핑장,"일반야영장,카라반",전라남도 무안군 일로읍 복룡리 150 회산백련지시설사업소,영업중,34.86,126.53,0.0,전라남도
3055,휴파크,일반야영장,전라남도 영광군 백수읍 길용리 806-1,영업중,35.34,126.43,0.0,전라남도
3056,솔내음 물댄동산 야영장,일반야영장,전라남도 장성군 삼계면 부성리 7-1번지,영업중,35.3,126.65,0.0,전라남도
3057,불태산야영장,일반야영장,전라남도 장성군 진원면 진원리 584-1,영업중,35.29,126.84,5.0,전라남도
3058,유니의바다 카라반캠핑장,일반야영장,경상북도 포항시 남구 호미곶면 강사리 228-6,영업중,36.03,129.58,4.5,경상북도
3059,유니의바다 카라반캠핑장,일반야영장,경상북도 포항시 남구 구룡포읍 석병리 19-2,영업중,36.03,129.58,4.5,경상북도
3060,유니의바다 카라반캠핑장,일반야영장,경상북도 포항시 남구 구룡포읍 석병리 113-3,영업중,36.03,129.58,4.5,경상북도
3061,숲속의드림캠프야영장,일반야영장,경상북도 포항시 북구 흥해읍 금장리 30-1,영업중,36.14,129.38,0.0,경상북도
3062,숲속의드림캠프야영장,일반야영장,경상북도 포항시 북구 흥해읍 금장리 16,영업중,36.14,129.38,0.0,경상북도
3063,숲속의드림캠프야영장,일반야영장,경상북도 포항시 북구 흥해읍 금장리 98,영업중,36.14,129.38,0.0,경상북도
3064,칠포그린로즈야영장,"자동차야영장,카라반",경상북도 포항시 북구 흥해읍 금장리 30-1,영업중,36.14,129.38,0.0,경상북도
3065,칠포그린로즈야영장,"자동차야영장,카라반",경상북도 포항시 북구 흥해읍 금장리 16,영업중,36.14,129.38,0.0,경상북도
3066,칠포그린로즈야영장,"자동차야영장,카라반",경상북도 포항시 북구 흥해읍 금장리 98,영업중,36.14,129.38,0.0,경상북도
3067,포유 야영장,일반야영장,경상북도 경주시 천북면 물천리 998-3,폐업,35.87,129.27,4.0,경상북도
3068,경주생태원캠핑장,일반야영장,경상북도 경주시 천북면 물천리 624-1,휴업,35.87,129.28,0.0,경상북도
3069,경주 더숲 관광농원,일반야영장,경상북도 경주시 내남면 명계리 485-2,영업중,35.71,129.26,0,경상북도
3070,두바퀴로 가는 자동차 관광농원,일반야영장,경상북도 경주시 산내면 신원리 647,영업중,35.75,129.0,0,경상북도
3071,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2번지,폐업,35.79,129.49,0.0,경상북도
3072,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3073,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3074,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3075,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3076,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3077,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3078,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3079,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3080,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3081,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3082,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3083,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3084,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3085,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3086,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,폐업,35.79,129.49,0.0,경상북도
3087,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,영업중,35.79,129.49,0.0,경상북도
3088,송림오토캠핑장,일반야영장,경상북도 경주시 감포읍 전촌리 686-2,영업중,35.79,129.49,0.0,경상북도
